Sat Oct 14 13:15:01 2017, Mostly Cloudy
Sat Oct 14 14:15:05 2017, Mostly Cloudy
Sat Oct 14 15:15:09 2017, Mostly Cloudy
Sat Oct 14 16:15:13 2017, Partly Cloudy
Sat Oct 14 17:15:17 2017, Partly Cloudy
Sat Oct 14 18:15:21 2017, Clear
Sat Oct 14 19:15:25 2017, Clear
Sat Oct 14 20:15:29 2017, Clear
Sat Oct 14 21:15:34 2017, Clear
Sat Oct 14 22:15:38 2017, Clear
Sat Oct 14 23:15:42 2017, Clear
Sun Oct 15 00:15:46 2017, Clear
Sun Oct 15 01:15:50 2017, Clear
Sun Oct 15 02:15:53 2017, Fog
Sun Oct 15 03:15:58 2017, Fog
Sun Oct 15 04:16:02 2017, Partly Cloudy
Sun Oct 15 05:16:06 2017, Clear
Sun Oct 15 06:16:10 2017, Partly Cloudy
Sun Oct 15 07:16:14 2017, Fog
Sun Oct 15 08:16:18 2017, Partly Cloudy
Sun Oct 15 09:16:21 2017, Clear
Sun Oct 15 10:16:25 2017, Clear
Sun Oct 15 11:16:29 2017, Clear
Sun Oct 15 12:16:33 2017, Partly Cloudy
Sun Oct 15 13:16:37 2017, Partly Cloudy
Sun Oct 15 14:16:41 2017, Partly Cloudy
Sun Oct 15 15:16:45 2017, Mostly Cloudy
Sun Oct 15 16:16:49 2017, Clear
Sun Oct 15 17:16:53 2017, Clear
Sun Oct 15 18:16:57 2017, Partly Cloudy
Sun Oct 15 19:17:01 2017, Mostly Cloudy
Sun Oct 15 20:17:05 2017, Overcast
Sun Oct 15 21:17:09 2017, Mostly Cloudy
Sun Oct 15 22:17:13 2017, Mostly Cloudy
Sun Oct 15 23:17:17 2017, Overcast
Mon Oct 16 00:17:21 2017, Overcast
Mon Oct 16 01:17:25 2017, Overcast
Mon Oct 16 02:17:29 2017, Partly Cloudy
Mon Oct 16 03:17:32 2017, Partly Cloudy
Mon Oct 16 04:17:36 2017, Clear
Mon Oct 16 05:17:40 2017, Clear
Mon Oct 16 06:17:44 2017, Clear
Mon Oct 16 07:17:48 2017, Clear
Mon Oct 16 08:17:52 2017, Clear
Mon Oct 16 09:17:56 2017, Clear
Mon Oct 16 10:18:00 2017, Clear
Mon Oct 16 11:18:04 2017, Clear
Mon Oct 16 12:18:08 2017, Clear
Mon Oct 16 13:18:12 2017, Clear
Mon Oct 16 14:18:15 2017, Clear
Mon Oct 16 15:18:19 2017, Clear
Mon Oct 16 16:18:23 2017, Clear
Mon Oct 16 17:18:27 2017, Clear
Mon Oct 16 18:18:31 2017, Clear
Mon Oct 16 19:18:35 2017, Clear
Mon Oct 16 20:18:39 2017, Clear
Mon Oct 16 21:18:43 2017, Clear
Mon Oct 16 22:18:47 2017, Clear
Mon Oct 16 23:18:51 2017, Clear
Tue Oct 17 00:18:54 2017, Clear
Tue Oct 17 01:18:58 2017, Clear
Tue Oct 17 02:19:02 2017, Clear
Tue Oct 17 03:19:06 2017, Clear
Tue Oct 17 04:19:10 2017, Clear
Tue Oct 17 05:19:14 2017, Clear
Tue Oct 17 06:19:18 2017, Clear
Tue Oct 17 07:19:22 2017, Clear
Tue Oct 17 08:19:26 2017, Clear
Tue Oct 17 09:19:30 2017, Clear
Tue Oct 17 10:19:33 2017, Clear
Tue Oct 17 11:19:37 2017, Clear
Tue Oct 17 12:19:41 2017, Clear
Tue Oct 17 13:19:45 2017, Clear
Tue Oct 17 14:19:49 2017, Clear
Tue Oct 17 15:19:53 2017, Clear
Tue Oct 17 16:19:57 2017, Clear
Tue Oct 17 17:20:01 2017, Clear
Tue Oct 17 18:20:05 2017, Clear
